Sticker Name,Quality,Qty,Cost/Unit (AUD),Total Cost (AUD),Current Price (AUD),Total Value (AUD),Profit/Loss (AUD),ROI %,Steam Market Link
woxic,Normal,5,0.35,1.75,0.04,0.20,-1.55,-88.6%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20woxic%20%7C%20Budapest%202025
XANTARES,Normal,7,0.35,2.45,0.09,0.63,-1.82,-74.3%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20XANTARES%20%7C%20Budapest%202025
xerolte,Embroidered,3,0.35,1.05,0.05,0.15,-0.90,-85.7%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20xerolte%20(Embroidered)%20%7C%20Budapest%202025
xerolte,Holo,1,0.35,0.35,0.66,0.66,0.31,88.6%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20xerolte%20(Holo)%20%7C%20Budapest%202025
xerolte,Normal,5,0.35,1.75,0.03,0.15,-1.60,-91.4%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20xerolte%20%7C%20Budapest%202025
xertioN,Embroidered,6,0.35,2.10,0.04,0.24,-1.86,-88.6%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20xertioN%20(Embroidered)%20%7C%20Budapest%202025
xertioN,Gold,1,0.35,0.35,1.21,1.21,0.86,245.7%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20xertioN%20(Gold)%20%7C%20Budapest%202025
xertioN,Holo,1,0.35,0.35,0.32,0.32,-0.03,-8.6%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20xertioN%20(Holo)%20%7C%20Budapest%202025
xertioN,Normal,10,0.35,3.50,0.03,0.30,-3.20,-91.4%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20xertioN%20%7C%20Budapest%202025
xiELO,Normal,7,0.35,2.45,0.03,0.21,-2.24,-91.4%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20xiELO%20%7C%20Budapest%202025
xKacpersky,Embroidered,3,0.35,1.05,0.08,0.24,-0.81,-77.1%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20xKacpersky%20(Embroidered)%20%7C%20Budapest%202025
xKacpersky,Normal,7,0.35,2.45,0.03,0.21,-2.24,-91.4%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20xKacpersky%20%7C%20Budapest%202025
XotiC,Embroidered,1,0.35,0.35,0.05,0.05,-0.30,-85.7%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20XotiC%20(Embroidered)%20%7C%20Budapest%202025
XotiC,Holo,1,0.35,0.35,1.30,1.30,0.95,271.4%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20XotiC%20(Holo)%20%7C%20Budapest%202025
XotiC,Normal,10,0.35,3.50,0.03,0.30,-3.20,-91.4%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20XotiC%20%7C%20Budapest%202025
YEKINDAR,Embroidered,6,0.35,2.10,0.04,0.24,-1.86,-88.6%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20YEKINDAR%20(Embroidered)%20%7C%20Budapest%202025
YEKINDAR,Normal,10,0.35,3.50,0.03,0.30,-3.20,-91.4%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20YEKINDAR%20%7C%20Budapest%202025
yuurih,Embroidered,1,0.35,0.35,0.03,0.03,-0.32,-91.4%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20yuurih%20(Embroidered)%20%7C%20Budapest%202025
yuurih,Normal,11,0.35,3.85,0.03,0.33,-3.52,-91.4%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20yuurih%20%7C%20Budapest%202025
z4KR,Embroidered,2,0.35,0.70,0.07,0.14,-0.56,-80.0%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20z4KR%20(Embroidered)%20%7C%20Budapest%202025
z4KR,Normal,8,0.35,2.80,0.03,0.24,-2.56,-91.4%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20z4KR%20%7C%20Budapest%202025
zevy,Embroidered,1,0.35,0.35,0.05,0.05,-0.30,-85.7%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20zevy%20(Embroidered)%20%7C%20Budapest%202025
zevy,Normal,3,0.35,1.05,0.03,0.09,-0.96,-91.4%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20zevy%20%7C%20Budapest%202025
zont1x,Normal,15,0.35,5.25,0.03,0.45,-4.80,-91.4%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20zont1x%20%7C%20Budapest%202025
ztr,Embroidered,4,0.35,1.40,0.04,0.16,-1.24,-88.6%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20ztr%20(Embroidered)%20%7C%20Budapest%202025
ztr,Normal,9,0.35,3.15,0.03,0.27,-2.88,-91.4%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20ztr%20%7C%20Budapest%202025
zweih,Embroidered,3,0.35,1.05,0.04,0.12,-0.93,-88.6%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20zweih%20(Embroidered)%20%7C%20Budapest%202025
zweih,Normal,13,0.35,4.55,0.03,0.39,-4.16,-91.4%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20zweih%20%7C%20Budapest%202025
ZywOo,Embroidered,6,0.35,2.10,0.06,0.36,-1.74,-82.9%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20ZywOo%20(Embroidered)%20%7C%20Budapest%202025
ZywOo,Embroidered (Champion),1,0.35,0.35,0.05,0.05,-0.30,-85.7%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20ZywOo%20(Embroidered%2C%20Champion)%20%7C%20Budapest%202025
ZywOo,Normal,9,0.35,3.15,0.03,0.27,-2.88,-91.4%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20ZywOo%20%7C%20Budapest%202025
ZywOo,Normal (Champion),6,0.35,2.10,0.03,0.18,-1.92,-91.4%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20ZywOo%20(Champion)%20%7C%20Budapest%202025
Legends,Capsule,20,0.35,7.00,0.29,5.80,-1.20,-17.1%,https://steamcommunity.com/market/listings/730/Budapest%202025%20Legends%20Sticker%20Capsule
Challengers,Capsule,20,0.35,7.00,0.30,6.00,-1.00,-14.3%,https://steamcommunity.com/market/listings/730/Budapest%202025%20Challengers%20Sticker%20Capsule
Contenders,Capsule,20,0.35,7.00,0.29,5.80,-1.20,-17.1%,https://steamcommunity.com/market/listings/730/Budapest%202025%20Contenders%20Sticker%20Capsule

TOTAL,,1642,,574.70,,311.72,-262.98,-45.8%,
